Taxon_Name_Neotoma,Ondrej_ID,Taxon_ID,Higher_Taxon1_Neotoma,Higher_Taxon2_Neotoma,taxon_name,NsitesInNA,Notes,...9,...10
Alnus viridis subsp. sinuata,NA,3604,Alnus viridis,Alnus subg. Alnobetula,Alnus,NA,NA,NA,NA
Alnus viridis subsp. sinuata-type,NA,3605,Alnus viridis-type,Alnus subg. Alnobetula,Alnus,NA,NA,NA,NA
Alternanthera,NA,1877,Amaranthaceae,Caryophyllales,Amaranthaceae undiff.,6,NA,NA,NA
Amaranthaceae,NA,391,Caryophyllales,Pentapetalae,Amaranthaceae undiff.,NA,NA,NA,NA
Amaranthaceae undiff.,NA,54,Amaranthaceae,Caryophyllales,Amaranthaceae undiff.,NA,NA,NA,NA
Amaranthus,82,NA,NA,NA,Amaranthaceae undiff.,NA,NA,NA,NA
Ambrosia,NA,345,Asteraceae subtribe Ambrosiinae,Asteraceae tribe Heliantheae,Ambrosia,NA,NA,NA,NA
Ambrosia-type,NA,16,Asteraceae subtribe Ambrosiinae,Asteraceae tribe Heliantheae,Ambrosia,NA,NA,NA,NA
Ambrosia/Iva,NA,2612,Asteraceae subtribe Ambrosiinae,Asteraceae tribe Heliantheae,Ambrosia,NA,NA,NA,NA
Ambrosia/Iva annua,NA,23883,Asteraceae subtribe Ambrosiinae,Asteraceae tribe Heliantheae,Ambrosia,NA,NA,NA,NA
Amelanchier,NA,558,Rosaceae,Rosales,Amelanchier,22,"WUS, Serviceberry",NA,NA
Amelanchier-type,NA,354,Rosaceae,Rosales,Amelanchier,11,Great Plains,NA,NA
Amorpha,NA,402,Fabaceae subf. Faboideae,Fabaceae,Amorpha,135,NA,NA,NA
Amorpha-type,NA,17,Fabaceae subf. Faboideae,Fabaceae,Amorpha,NA,NA,NA,NA
Anacardiaceae,NA,347,Sapindales,Malvidae,Anacardiaceae undiff.,NA,NA,NA,NA
Anacardiaceae undiff.,NA,18,Anacardiaceae,Sapindales,Anacardiaceae undiff.,NA,NA,NA,NA
Andromeda,NA,562,Ericaceae subf. Vaccinioideae,Ericaceae,Ericaceae subf. Vaccinioideae,7,NA,NA,NA
Andromeda polifolia,NA,564,Andromeda,Ericaceae subf. Vaccinioideae,Ericaceae subf. Vaccinioideae,1,NA,NA,NA
Andromeda polifolia var. latifolia,NA,563,Andromeda polifolia,Andromeda,Ericaceae subf. Vaccinioideae,NA,NA,NA,NA
Andropogon,NA,3534,Poaceae,Poales,Poaceae undiff.,5,NA,NA,NA
Androsace,NA,1154,Androsace-type,Primulaceae,Androsace,12,"Boreal.  Keep for now, maybe lump into Primulaceae",NA,NA
Anemone,NA,1142,Ranunculaceae,Ranunculales,Ranunculaceae undiff.,10,NA,NA,NA
Anemone-type,NA,1161,Ranunculaceae,Ranunculales,Ranunculaceae undiff.,20,"MN (local analyst), Alaska, misc.  Lumping.",NA,NA
Anemone canadensis-type,NA,403,Anemone-type,Ranunculaceae,Ranunculaceae undiff.,4,NA,NA,NA
Anemone patens,103,NA,NA,NA,Ranunculaceae undiff.,NA,NA,NA,NA
Anemone quinquefolia-type,NA,406,Anemone-type,Ranunculaceae,Ranunculaceae undiff.,3,NA,NA,NA
Anemone sect. Hepatica,NA,25877,Anemone subg. Anemonidium,Anemone,Ranunculaceae undiff.,NA,NA,NA,NA
Anemone sect. Pulsatilla,106,NA,NA,NA,Ranunculaceae undiff.,NA,NA,NA,NA
Angelica-type,NA,3784,Apiaceae,Apiales,Apiaceae,8,all BC,NA,NA
Angiospermae undiff. (hardwood trees),NA,23877,Angiospermae undiff.,Angiospermae,skip,NA,NA,NA,NA
Angiospermae undiff. (herbs),NA,127,Angiospermae undiff.,Angiospermae,skip,NA,NA,NA,NA
Angiospermae undiff. (upland herbs),NA,474,Angiospermae undiff. (herbs),Angiospermae undiff.,skip,NA,NA,NA,NA
Annona,NA,5762,Annonaceae,Magnoliales,Annonaceae,3,NA,NA,NA
Annonaceae,NA,3293,Magnoliales,Magnoliidae,Annonaceae,1,NA,NA,NA
Anthemis,NA,5166,Asteraceae tribe Anthemideae,Asteraceae subf. Asteroideae,Asteraceae subf. Asteroideae,NA,NA,NA,NA
Anthemis-type,NA,3438,Asteraceae tribe Anthemideae,Asteraceae subf. Asteroideae,Asteraceae subf. Asteroideae,NA,NA,NA,NA
Apiaceae,NA,311,Apiales,Apiidae,Apiaceae,NA,NA,NA,NA
Apiaceae (apiculate),114,NA,NA,NA,Apiaceae,NA,NA,NA,NA
Apiaceae (large),115,NA,NA,NA,Apiaceae,NA,NA,NA,NA
Apiaceae (medium),116,NA,NA,NA,Apiaceae,NA,NA,NA,NA
Apiaceae (small),117,NA,NA,NA,Apiaceae,NA,NA,NA,NA
Apiaceae cf. Sium suave,NA,1439,Apiaceae,Apiales,Apiaceae,NA,NA,NA,NA
Apiaceae undiff.,NA,1172,Apiaceae,Apiales,Apiaceae,NA,NA,NA,NA
Apium-type,NA,NA,NA,NA,Apiaceae,NA,NA,NA,NA
Apocynaceae,NA,228,Gentianales,Lamiidae,Apocynaceae,NA,NA,NA,NA
Apocynum,NA,19,Apocyneae tribe Apocyneae,Apocynaceae,Apocynaceae,NA,NA,NA,NA
